WORD	POS	CHUNK	LI	CLASS	FOCUS
nearby	RB	B-ADVP	O	I-food	O
.	.	O	O	I-food	O

Is	VBZ	O	O	B-fun	O
there	EX	B-NP	O	I-fun	O
any	DT	B-NP	O	I-fun	O
pub	NN	I-NP	B-IH	I-fun	B-FOCUS
in	IN	B-PP	O	I-fun	O
Glasgow	NNP	B-NP	B-IM_LocCity	I-fun	O
close	RB	I-NP	O	I-fun	O
to	TO	B-PP	O	I-fun	O
a	DT	B-NP	O	I-fun	O
3-stars	JJ	I-NP	B-IM_rating	I-fun	O
hotel	NN	I-NP	B-IH	I-fun	O
?	.	O	O	I-fun	O

closest	JJS	B-NP	O	B-transport	O
subway	NN	I-NP	B-IH	I-transport	O
station	NN	I-NP	I-IH	I-transport	B-FOCUS
near	IN	B-PP	O	I-transport	O
Naraina	NNP	B-NP	B-IM_LocRegion	I-transport	O
0	0	O	O	I-transport	O
Delhi	NNP	B-NP	B-IM_LocCity	I-transport	O
?	.	O	O	I-transport	O

i	PRP	B-NP	O	B-hotel	O
am	VBP	B-VP	O	I-hotel	O
looking	VBG	I-VP	O	I-hotel	O
for	IN	B-PP	O	I-hotel	O
a	DT	B-NP	O	I-hotel	O
single	JJ	I-NP	B-IH	I-hotel	O
room	NN	I-NP	I-IH	I-hotel	B-FOCUS
in	IN	B-PP	O	I-hotel	O
Berlin	NNP	B-NP	B-IM_LocCity	I-hotel	O
.	.	O	O	I-hotel	O

find	VB	B-VP	O	B-transport	O
me	PRP	B-NP	O	I-transport	O
a	DT	B-NP	O	I-transport	O
car-sharing	JJ	I-NP	B-IH	I-transport	O
service	NN	I-NP	I-IH	I-transport	B-FOCUS
and	CC	O	O	B-poi	O
the	DT	B-NP	O	I-poi	O
most	RBS	I-NP	O	I-poi	O
beautiful	JJ	I-NP	O	I-poi	O
places	NNS	I-NP	B-IH	I-poi	B-FOCUS
reachable	VBN	B-VP	O	I-poi	O
by	IN	B-PP	O	I-poi	O
car	NN	B-NP	O	I-poi	O
in	IN	B-PP	O	I-poi	O
Bruxelles	NNP	B-NP	B-IM_LocCity	I-poi	O
.	.	O	O	I-poi	O

i	PRP	B-NP	O	B-cinema	O
'm	VBP	B-VP	O	I-cinema	O
looking	VBG	I-VP	O	I-cinema	O
for	IN	B-PP	O	I-cinema	O
a	DT	B-NP	O	I-cinema	O
cinema	NN	I-NP	B-IH	I-cinema	O
showing	VBG	B-VP	O	I-cinema	O
a	DT	B-NP	O	I-cinema	O
comedy	NN	I-NP	B-IM_MovGenre	I-cinema	O
movie	NN	I-NP	B-IH	I-cinema	B-FOCUS
directed	VBN	B-VP	O	I-cinema	O
by	IN	B-PP	O	I-cinema	O
woody	JJ	B-NP	B-IM_PerDirector	I-cinema	O
allen	VBN	B-VP	I-IM_PerDirector	I-cinema	O
in	IN	B-PP	O	I-cinema	O
oxford	NN	B-NP	B-IM_LocCity	I-cinema	O

thriller	NN	B-NP	B-IM_MovGenre	B-movie	O
films	NNS	I-NP	B-IH	I-movie	B-FOCUS
with	IN	B-PP	O	I-movie	O
redford	NN	B-NP	B-IM_PerActor	I-movie	O
out	IN	B-PP	O	I-movie	O
now	RB	B-ADVP	B-IM_date	I-movie	O
in	IN	B-PP	O	I-movie	O
dublin	NN	B-NP	B-IM_LocCity	I-movie	O

find	VB	B-VP	O	B-movie	O
me	PRP	B-NP	O	I-movie	O
a	DT	B-NP	O	I-movie	O
movie	NN	I-NP	B-IH	I-movie	O
title	NN	I-NP	I-IH	I-movie	B-FOCUS
directed	VBN	B-VP	O	I-movie	O
by	IN	B-PP	O	I-movie	O
chris	NN	B-NP	B-IM_PerDirector	I-movie	O
nolan	NN	I-NP	I-IM_PerDirector	I-movie	O
and	CC	O	O	I-movie	O
shown	VBN	B-VP	O	I-movie	O
today	NN	B-NP	B-IM_date	I-movie	O
in	IN	B-PP	O	I-movie	O
london	RB	O	B-IM_LocCity	I-movie	O

look	NN	B-NP	O	B-hotel	O
for	IN	B-PP	O	I-hotel	O
a	DT	B-NP	O	I-hotel	O
beautiful	JJ	I-NP	O	I-hotel	O
room	NN	I-NP	B-IH	I-hotel	B-FOCUS
in	IN	B-PP	O	I-hotel	O
hamburg	NN	B-NP	B-IM_LocCity	I-hotel	O
and	CC	O	O	B-cinema	O
tell	VB	B-VP	O	I-cinema	O
me	PRP	B-NP	O	I-cinema	O
what	WP	B-NP	O	I-cinema	O
are	VBP	B-VP	O	I-cinema	O
the	DT	B-NP	O	I-cinema	O
closest	JJS	I-NP	O	I-cinema	O
theaters	NNS	I-NP	B-IH	I-cinema	B-FOCUS
.	.	O	O	I-cinema	O

best	JJS	B-NP	O	B-poi	O
places	NNS	I-NP	B-IH	I-poi	B-FOCUS
of	IN	B-PP	O	I-poi	O
New	NNP	B-NP	B-IM_LocCity	I-poi	O
Delhi	NNP	I-NP	I-IM_LocCity	I-poi	O
and	CC	O	O	B-transport	O
close-by	JJ	B-NP	O	I-transport	O
metro	NN	I-NP	B-IH	I-transport	O
stations	NNS	I-NP	I-IH	I-transport	B-FOCUS
.	.	O	O	I-transport	O

give	VB	B-VP	O	B-cinema	O
me	PRP	B-NP	O	I-cinema	O
the	DT	B-NP	O	I-cinema	O
theaters	NNS	I-NP	B-IH	I-cinema	B-FOCUS
showing	VBG	B-VP	O	I-cinema	O
a	DT	B-NP	O	I-cinema	O
thriller	NN	I-NP	B-IM_MovGenre	I-cinema	O
movie	NN	I-NP	B-IH	I-cinema	O
by	IN	B-PP	O	I-cinema	O
hitchcock	NN	B-NP	B-IM_PerDirector	I-cinema	O

bradford	NN	B-NP	B-IM_LocCity	B-transport	O
car	NN	I-NP	B-IH	I-transport	O
rental	NN	I-NP	I-IH	I-transport	B-FOCUS
and	CC	I-NP	O	B-transport	O
car-sharing	JJ	I-NP	B-IH	I-transport	O
services	NNS	I-NP	I-IH	I-transport	B-FOCUS
.	.	O	O	I-transport	O

take-away	JJ	B-NP	B-IM_type	B-food	O
restaurants	NNS	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
gloucester	NN	B-NP	B-IM_LocCity	I-food	O
and	CC	I-NP	O	B-event	O
sport	NN	I-NP	B-IM_type	I-event	O
exhibitions	NNS	I-NP	B-IH	I-event	B-FOCUS
of	IN	B-PP	O	I-event	O
this	DT	B-NP	B-IM_date	I-event	O
week	NN	I-NP	I-IM_date	I-event	O
.	.	O	O	I-event	O

i	PRP	B-NP	O	B-fun	O
want	VBP	B-VP	O	I-fun	O
a	DT	B-NP	O	I-fun	O
bar	NN	I-NP	B-IH	I-fun	B-FOCUS
close	RB	B-ADVP	O	I-fun	O
to	TO	B-PP	O	I-fun	O
a	DT	B-NP	O	I-fun	O
metro	NN	I-NP	B-IH	I-fun	O
station	NN	I-NP	I-IH	I-fun	O
in	IN	B-PP	O	I-fun	O
newport	NN	B-NP	B-IM_LocCity	I-fun	O
.	.	O	O	I-fun	O

cheapest	JJS	B-NP	O	B-food	O
take-aways	NNS	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
eindhoven	CD	B-NP	B-IM_LocCity	I-food	O
.	.	O	O	I-food	O

I	PRP	B-NP	O	B-hotel	O
'd	MD	B-VP	O	I-hotel	O
like	VB	I-VP	O	I-hotel	O
a	DT	B-NP	O	I-hotel	O
cheap	JJ	I-NP	O	I-hotel	O
comfortable	JJ	I-NP	O	I-hotel	O
double	JJ	I-NP	B-IH	I-hotel	O
room	NN	I-NP	I-IH	I-hotel	B-FOCUS
and	CC	O	O	B-food	O
a	DT	B-NP	O	I-food	O
nice	JJ	I-NP	O	I-food	O
indian	JJ	I-NP	B-IM_type	I-food	O
restaurant	NN	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
toledo	NN	B-NP	B-IM_LocCity	I-food	O
.	.	O	O	I-food	O

madrid	JJ	B-NP	B-IM_LocCity	B-cinema	O
cinemas	NNS	I-NP	B-IH	I-cinema	B-FOCUS
showing	VBG	B-VP	O	I-cinema	O
keanu	FW	B-NP	B-IM_PerActor	I-cinema	O
reeves	VBZ	B-VP	I-IM_PerActor	I-cinema	O
movies	NNS	B-NP	B-IH	I-cinema	O
directed	VBN	B-VP	O	I-cinema	O
by	IN	B-PP	O	I-cinema	O
wachowski	NN	B-NP	B-IM_PerDirector	I-cinema	O
this	DT	B-NP	B-IM_date	I-cinema	O
saturday	NN	I-NP	I-IM_date	I-cinema	O

find	VB	B-VP	O	B-transport	O
me	PRP	B-NP	O	I-transport	O
a	DT	B-NP	O	I-transport	O
flight	NN	I-NP	B-IH	I-transport	B-FOCUS
to	TO	B-VP	O	I-transport	O
budapest	VB	I-VP	B-IM_LocCity	I-transport	O
for	IN	B-PP	O	I-transport	O
next	JJ	B-NP	B-IM_date	I-transport	O
week	NN	I-NP	I-IM_date	I-transport	O
.	.	O	O	I-transport	O

find	VB	B-VP	O	B-cinema	O
me	PRP	B-NP	O	I-cinema	O
a	DT	B-NP	O	I-cinema	O
theater	NN	I-NP	B-IH	I-cinema	B-FOCUS
in	IN	B-PP	O	I-cinema	O
phoenix	NN	B-NP	B-IM_LocCity	I-cinema	O
with	IN	B-PP	O	I-cinema	O
a	DT	B-NP	O	I-cinema	O
movie	NN	I-NP	B-IH	I-cinema	O
with	IN	B-PP	O	I-cinema	O
gwenyth	NN	B-NP	B-IM_PerActor	I-cinema	O
paltrow	NN	I-NP	I-IM_PerActor	I-cinema	O
or	CC	O	O	I-cinema	O
winslet	VB	B-VP	B-IM_PerActor	I-cinema	O
this	DT	B-NP	B-IM_date	I-cinema	O
week	NN	I-NP	I-IM_date	I-cinema	O

restaurants	NNS	B-NP	B-IH	B-food	B-FOCUS
in	IN	B-PP	O	I-food	O
valencia	NN	B-NP	B-IM_LocCity	I-food	O
with	IN	B-PP	O	I-food	O
live	JJ	B-NP	B-IM_service	I-food	O
music	NN	I-NP	I-IM_service	I-food	O
and	CC	I-NP	O	B-event	O
music	NN	I-NP	B-IM_type	I-event	O
events	NNS	I-NP	B-IH	I-event	B-FOCUS
.	.	O	O	I-event	O

find	VB	B-VP	O	B-food	O
me	PRP	B-NP	O	I-food	O
an	DT	B-NP	O	I-food	O
italian	JJ	I-NP	B-IM_type	I-food	O
restaurant	NN	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
mumbai	NN	B-NP	B-IM_LocCity	I-food	O
and	CC	O	O	B-hotel	O
its	PRP$	B-NP	O	I-hotel	O
closest	JJS	I-NP	O	I-hotel	O
3-stars	JJ	I-NP	B-IM_rating	I-hotel	O
hotel	NN	I-NP	B-IH	I-hotel	B-FOCUS
.	.	O	O	I-hotel	O

Which	WDT	B-NP	O	B-fun	O
is	VBZ	B-VP	O	I-fun	O
a	DT	B-NP	O	I-fun	O
nice	JJ	I-NP	O	I-fun	O
pub	NN	I-NP	B-IH	I-fun	B-FOCUS
or	CC	I-NP	O	B-fun	O
bar	NN	I-NP	B-IH	I-fun	B-FOCUS
in	IN	B-PP	O	I-fun	O
Cardiff	NNP	B-NP	B-IM_LocCity	I-fun	O
city	NN	I-NP	B-IM_LocArea	I-fun	O
centre	NN	I-NP	I-IM_LocArea	I-fun	O
?	.	O	O	I-fun	O

i	PRP	B-NP	O	B-event	O
'm	VBP	B-VP	O	I-event	O
looking	VBG	I-VP	O	I-event	O
for	IN	B-PP	O	I-event	O
a	DT	B-NP	O	I-event	O
dance	NN	I-NP	B-IM_type	I-event	O
exhibition	NN	I-NP	B-IH	I-event	B-FOCUS
starting	VBG	B-VP	O	I-event	O
after	IN	B-PP	B-IM_date	I-event	O
9	CD	B-NP	I-IM_date	I-event	O
p.m.	NN	I-NP	I-IM_date	I-event	O
in	IN	B-PP	O	I-event	O
toledo	NN	B-NP	B-IM_LocCity	I-event	O

good	JJ	B-NP	O	B-food	O
restaurant	NN	I-NP	B-IH	I-food	B-FOCUS
to	TO	B-VP	O	I-food	O
have	VB	I-VP	O	I-food	O
dinner	NN	B-NP	O	I-food	O
close	RB	B-ADJP	O	I-food	O
to	TO	B-PP	O	I-food	O
Cathedral	NNP	B-NP	B-IM_LocAddress	I-food	O
Square	NNP	I-NP	I-IM_LocAddress	I-food	O
0	0	O	O	I-food	O
Milan	NNP	B-NP	B-IM_LocCity	I-food	O
?	.	O	O	I-food	O

what	WP	B-NP	O	B-food	O
fast	JJ	I-NP	B-IM_type	I-food	O
food	NN	I-NP	I-IM_type	I-food	O
restaraunts	NNS	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
manhattan	NN	B-NP	B-IM_LocRegion	I-food	O
?	.	O	O	I-food	O

I	PRP	B-NP	O	B-hotel	O
want	VBP	B-VP	O	I-hotel	O
to	TO	I-VP	O	I-hotel	O
know	VB	I-VP	O	I-hotel	O
where	WRB	B-ADVP	O	I-hotel	O
are	VBP	B-VP	O	I-hotel	O
the	DT	B-NP	O	I-hotel	O
cheapest	JJS	I-NP	O	I-hotel	O
rooms	NNS	I-NP	B-IH	I-hotel	B-FOCUS
in	IN	B-PP	O	I-hotel	O
San	NNP	B-NP	B-IM_LocCity	I-hotel	O
Francisco	NNP	I-NP	I-IM_LocCity	I-hotel	O
and	CC	O	O	B-food	O
what	WP	B-NP	O	I-food	O
are	VBP	B-VP	O	I-food	O
the	DT	B-NP	O	I-food	O
japanese	JJ	I-NP	B-IM_type	I-food	O
restaurants	NNS	I-NP	B-IH	I-food	B-FOCUS
nearby	RB	B-ADVP	O	I-food	O
.	.	O	O	I-food	O

What	WP	B-NP	O	B-transport	O
is	VBZ	B-VP	O	I-transport	O
the	DT	B-NP	O	I-transport	O
nearest	JJS	I-NP	O	I-transport	O
metro	NN	I-NP	B-IH	I-transport	O
station	NN	I-NP	I-IH	I-transport	B-FOCUS
to	TO	B-PP	O	I-transport	O
Cathedral	NNP	B-NP	B-IM_LocAddress	I-transport	O
Square	NNP	I-NP	I-IM_LocAddress	I-transport	O
in	IN	B-PP	O	I-transport	O
Milan	NNP	B-NP	B-IM_LocCity	I-transport	O
?	.	O	O	I-transport	O

where	WRB	B-ADVP	O	B-cinema	O
is	VBZ	B-VP	O	I-cinema	O
a	DT	B-NP	O	I-cinema	O
multiplex	JJ	I-NP	B-IM_type	I-cinema	O
cinema	NN	I-NP	B-IH	I-cinema	B-FOCUS
that	WDT	B-NP	O	I-cinema	O
shows	VBZ	B-VP	O	I-cinema	O
an	DT	B-NP	O	I-cinema	O
action	NN	I-NP	B-IM_MovGenre	I-cinema	O
movie	NN	I-NP	B-IH	I-cinema	O
with	IN	B-PP	O	I-cinema	O
de	NNP	B-NP	B-IM_PerActor	I-cinema	O
niro	RB	I-NP	I-IM_PerActor	I-cinema	O
tomorrow	NN	I-NP	B-IM_date	I-cinema	O
?	.	O	O	I-cinema	O

multiplex	JJ	B-NP	B-IM_type	B-cinema	O
cinemas	NNS	I-NP	B-IH	I-cinema	B-FOCUS
with	IN	B-PP	O	I-cinema	O
an	DT	B-NP	O	I-cinema	O
action	NN	I-NP	B-IM_MovGenre	I-cinema	O
movie	NN	I-NP	B-IH	I-cinema	O
by	IN	B-PP	O	I-cinema	O
cassavetes	NNS	B-NP	B-IM_PerDirector	I-cinema	O
in	IN	B-PP	O	I-cinema	O
St	NNP	B-NP	B-IM_LocCity	I-cinema	O
.	.	I-NP	I-IM_LocCity	I-cinema	O
Louis	NNP	I-NP	I-IM_LocCity	I-cinema	O
?	.	O	O	I-cinema	O

nice	JJ	B-NP	O	B-food	O
italian	JJ	I-NP	B-IM_type	I-food	O
restaurant	NN	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
NYC	NNP	B-NP	B-IM_LocCity	I-food	O
?	.	O	O	I-food	O

places	NNS	B-NP	B-IH	B-food	B-FOCUS
for	IN	B-PP	O	I-food	O
eating	VBG	B-VP	O	I-food	O
italian	VBN	B-NP	B-IM_type	I-food	O
food	NN	I-NP	I-IM_type	I-food	O
in	IN	B-PP	O	I-food	O
Tokyo	NNP	B-NP	B-IM_LocCity	I-food	O
.	.	O	O	I-food	O

interesting	JJ	B-NP	O	B-poi	O
places	NNS	I-NP	B-IH	I-poi	B-FOCUS
to	TO	B-VP	I-IH	I-poi	O
see	VB	I-VP	I-IH	I-poi	O
in	IN	B-PP	O	I-poi	O
Nevada	NNP	B-NP	B-IM_LocCountry	I-poi	O
and	CC	I-NP	O	B-hotel	O
best	JJS	I-NP	O	I-hotel	O
stays	NNS	I-NP	B-IH	I-hotel	B-FOCUS
in	IN	B-PP	O	I-hotel	O
their	PRP$	B-NP	O	I-hotel	O
area	NN	I-NP	O	I-hotel	O
?	.	O	O	I-hotel	O

List	VB	B-VP	O	B-food	O
all	PDT	B-NP	O	I-food	O
the	DT	I-NP	O	I-food	O
fastfood	NN	I-NP	B-IM_type	I-food	O
restaurants	NNS	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
LA	NNP	B-NP	B-IM_LocCity	I-food	O
and	CC	O	O	B-poi	O
the	DT	B-NP	O	I-poi	O
most	RBS	I-NP	O	I-poi	O
beautiful	JJ	I-NP	O	I-poi	O
places	NNS	I-NP	B-IH	I-poi	B-FOCUS
to	TO	B-VP	I-IH	I-poi	O
see	VB	I-VP	I-IH	I-poi	O
nearby	RB	B-PRT	O	I-poi	O

Where	WRB	B-ADVP	O	B-fun	O
are	VBP	B-VP	O	I-fun	O
a	DT	B-NP	O	I-fun	O
good	JJ	I-NP	O	I-fun	O
Irish	JJ	I-NP	B-IM_type	I-fun	O
pub	NN	I-NP	B-IH	I-fun	B-FOCUS
and	CC	O	O	B-food	O
a	DT	B-NP	O	I-food	O
restaurant	NN	I-NP	B-IH	I-food	B-FOCUS
near	IN	B-PP	O	I-food	O
1629	CD	B-NP	B-IM_LocAddress	I-food	O
Jolliff	JJ	I-NP	I-IM_LocAddress	I-food	O
Rd	NNP	I-NP	I-IM_LocAddress	I-food	O
Chesapeake	NNP	I-NP	B-IM_LocCity	I-food	O
Va	NNP	I-NP	B-IM_LocCountry	I-food	O
?	.	O	O	I-food	O

most	RBS	B-NP	O	B-fun	O
popular	JJ	I-NP	O	I-fun	O
clubs	NNS	I-NP	B-IH	I-fun	B-FOCUS
in	IN	B-PP	O	I-fun	O
burnaby	NN	B-NP	B-IM_LocCity	I-fun	O
and	CC	I-NP	O	B-event	O
events	NNS	I-NP	B-IH	I-event	B-FOCUS
incoming	NN	I-NP	O	I-event	O
in	IN	B-PP	O	I-event	O
the	DT	B-NP	O	I-event	O
next	JJ	I-NP	B-IM_date	I-event	O
5	CD	I-NP	I-IM_date	I-event	O
days	NNS	I-NP	I-IM_date	I-event	O

things	NNS	B-NP	B-IH	B-event	B-FOCUS
to	TO	B-VP	I-IH	I-event	O
do	VB	I-VP	I-IH	I-event	O
in	IN	B-PP	O	I-event	O
Las	NNP	B-NP	B-IM_LocCity	I-event	O
Vegas	NNP	I-NP	I-IM_LocCity	I-event	O
and	CC	O	O	B-poi	O
places	NNS	B-VP	B-IH	I-poi	B-FOCUS
to	TO	I-VP	I-IH	I-poi	O
visit	VB	I-VP	I-IH	I-poi	O

Bar	NNP	B-NP	B-IH	B-fun	B-FOCUS
0	0	I-NP	O	B-fun	O
pub	NN	I-NP	B-IH	I-fun	B-FOCUS
or	CC	I-NP	O	B-fun	O
club	NN	I-NP	B-IH	I-fun	B-FOCUS
close	RB	B-ADVP	O	I-fun	O
as	IN	B-PP	O	I-fun	O
possible	JJ	B-ADJP	O	I-fun	O
to	TO	B-PP	O	I-fun	O
Times	NNP	B-NP	B-IM_LocAddress	I-fun	O
Square	NNP	I-NP	I-IM_LocAddress	I-fun	O

What	WP	B-NP	O	B-food	O
is	VBZ	B-VP	O	I-food	O
the	DT	B-NP	O	I-food	O
best	JJS	I-NP	O	I-food	O
restaurant	NN	I-NP	B-IH	I-food	B-FOCUS
and	CC	I-NP	O	B-fun	O
pub	NN	I-NP	B-IH	I-fun	B-FOCUS
in	IN	B-PP	O	I-fun	O
London	NNP	B-NP	B-IM_LocCity	I-fun	O
?	.	O	O	I-fun	O

What	WP	B-NP	O	B-hotel	O
is	VBZ	B-VP	O	I-hotel	O
the	DT	B-NP	O	I-hotel	O
closest	JJS	I-NP	O	I-hotel	O
hostel	NN	I-NP	B-IH	I-hotel	B-FOCUS
to	TO	B-PP	O	I-hotel	O
the	DT	B-NP	O	I-hotel	O
Amtrak	NNP	I-NP	B-IM_LocPOI	I-hotel	O
Station	NNP	I-NP	I-IM_LocPOI	I-hotel	O
in	IN	B-PP	O	I-hotel	O
San	NNP	B-NP	B-IM_LocCity	I-hotel	O
Francisco	NNP	I-NP	I-IM_LocCity	I-hotel	O
?	.	O	O	I-hotel	O

hotels	NNS	B-NP	B-IH	B-hotel	B-FOCUS
in	IN	B-PP	O	I-hotel	O
Ireland	NNP	B-NP	B-IM_LocCountry	I-hotel	O
and	CC	I-NP	O	B-poi	O
best	JJS	I-NP	O	I-poi	O
places	NNS	I-NP	B-IH	I-poi	B-FOCUS
to	TO	B-VP	I-IH	I-poi	O
see	VB	I-VP	I-IH	I-poi	O
on	IN	B-PP	O	I-poi	O
a	DT	B-NP	O	I-poi	O
journey	NN	I-NP	O	I-poi	O

What	WP	B-NP	O	B-poi	O
are	VBP	B-VP	O	I-poi	O
some	DT	B-NP	O	I-poi	O
must	MD	O	B-IH	I-poi	B-FOCUS
sees	VBZ	B-VP	I-IH	I-poi	I-FOCUS
in	IN	B-PP	O	I-poi	O
NYC	NNP	B-NP	B-IM_LocCity	I-poi	O
or	CC	I-NP	O	B-event	O
things	NNS	I-NP	B-IH	I-event	B-FOCUS
to	TO	B-VP	I-IH	I-event	O
do	VB	I-VP	I-IH	I-event	O
?	.	O	O	I-event	O

What	WP	B-NP	O	B-poi	O
're	VBP	B-VP	O	I-poi	O
the	DT	B-NP	O	I-poi	O
must-sees	NNS	I-NP	B-IH	I-poi	B-FOCUS
of	IN	B-PP	O	I-poi	O
Yellowstone	NNP	B-NP	B-IM_LocPOI	I-poi	O
National	NNP	I-NP	I-IM_LocPOI	I-poi	O
Park	NNP	I-NP	I-IM_LocPOI	I-poi	O
?	.	O	O	I-poi	O

best	JJS	B-NP	O	B-food	O
places	NNS	I-NP	B-IH	I-food	B-FOCUS
to	TO	B-VP	I-IH	I-food	O
eat	VB	I-VP	I-IH	I-food	O
in	IN	B-PP	O	I-food	O
Chicago	NNP	B-NP	B-IM_LocCity	I-food	O
and	CC	O	O	B-poi	O
must-see	JJ	B-NP	B-IH	I-poi	O
places	NNS	I-NP	I-IH	I-poi	B-FOCUS

important	JJ	B-NP	O	B-poi	O
spots	NNS	I-NP	B-IH	I-poi	B-FOCUS
in	IN	B-PP	O	I-poi	O
Great	JJ	B-NP	B-IM_LocCountry	I-poi	O
Britain	NNP	I-NP	I-IM_LocCountry	I-poi	O
and	CC	I-NP	O	B-hotel	O
locations	NNS	I-NP	B-IH	I-hotel	B-FOCUS
for	IN	B-PP	I-IH	I-hotel	O
sleeping	VBG	O	I-IH	I-hotel	O

What	WP	B-NP	O	B-poi	O
are	VBP	B-VP	O	I-poi	O
the	DT	B-NP	O	I-poi	O
must	MD	I-NP	B-IH	I-poi	B-FOCUS
sees	VBZ	I-NP	I-IH	I-poi	I-FOCUS
in	IN	B-PP	O	I-poi	O
Chicago	NNP	B-NP	B-IM_LocCity	I-poi	O
?	.	O	O	I-poi	O

erasmus	NN	B-NP	B-IM_type	B-event	O
parties	NNS	I-NP	B-IH	I-event	B-FOCUS
in	IN	B-PP	O	I-event	O
Barcelona	NNP	B-NP	B-IM_LocCity	I-event	O
and	CC	I-NP	O	B-fun	O
most	RBS	I-NP	O	I-fun	O
popular	JJ	I-NP	O	I-fun	O
clubs	NNS	I-NP	B-IH	I-fun	B-FOCUS
.	.	O	O	I-fun	O

beautiful	JJ	B-NP	O	B-poi	O
locations	NNS	I-NP	B-IH	I-poi	B-FOCUS
in	IN	B-PP	O	I-poi	O
Moscow	NNP	B-NP	B-IM_LocCity	I-poi	O
and	CC	I-NP	O	B-event	O
concerts	NNS	I-NP	B-IH	I-event	B-FOCUS
of	IN	B-PP	O	I-event	O
this	DT	B-NP	B-IM_date	I-event	O
month	NN	I-NP	I-IM_date	I-event	O

sport	NN	B-NP	B-IM_type	B-event	O
exhibitions	NNS	I-NP	B-IH	I-event	B-FOCUS
of	IN	B-PP	O	I-event	O
this	DT	B-NP	B-IM_date	I-event	O
week	NN	I-NP	I-IM_date	I-event	O
in	IN	B-PP	O	I-event	O
Torino	NNP	B-NP	B-IM_LocCity	I-event	O
and	CC	O	O	B-hotel	O
close-by	JJ	B-NP	O	I-hotel	O
hotels	NNS	I-NP	B-IH	I-hotel	B-FOCUS

find	VB	B-VP	O	B-fun	O
me	PRP	B-NP	O	I-fun	O
the	DT	B-NP	O	I-fun	O
best	JJS	I-NP	O	I-fun	O
pubs	NNS	I-NP	B-IH	I-fun	B-FOCUS
in	IN	B-PP	O	I-fun	O
Pisa	NNP	B-NP	B-IM_LocCity	I-fun	O
and	CC	O	O	B-hotel	O
the	DT	B-NP	O	I-hotel	O
cheapest	JJS	I-NP	O	I-hotel	O
hostels	NNS	I-NP	B-IH	I-hotel	B-FOCUS

must	MD	O	B-IH	B-poi	O
see	VB	B-NP	I-IH	I-poi	O
places	NNS	I-NP	I-IH	I-poi	B-FOCUS
in	IN	B-PP	O	I-poi	O
Tuscany	NNP	B-NP	B-IM_LocRegion	I-poi	O
and	CC	I-NP	O	B-hotel	O
closest	JJS	I-NP	O	I-hotel	O
hotels	NNS	I-NP	B-IH	I-hotel	B-FOCUS
and	CC	I-NP	O	B-food	O
restaurants	NNS	I-NP	B-IH	I-food	B-FOCUS

What	WP	B-NP	O	B-poi	O
are	VBP	B-VP	O	I-poi	O
the	DT	B-NP	O	I-poi	O
must	NN	I-NP	B-IH	I-poi	B-FOCUS
sees	VBZ	B-VP	I-IH	I-poi	I-FOCUS
while	IN	B-ADVP	O	I-poi	O
in	IN	B-PP	O	I-poi	O
Sydney	NNP	B-NP	B-IM_LocCity	I-poi	O
0	0	O	O	I-poi	O
Australia	NNP	B-NP	B-IM_LocCountry	I-poi	O
?	.	O	O	I-poi	O

What	WP	B-NP	O	B-poi	O
are	VBP	B-VP	O	I-poi	O
the	DT	B-NP	O	I-poi	O
Must-sees	NNP	I-NP	B-IH	I-poi	B-FOCUS
and	CC	O	O	B-event	O
things	NNS	B-NP	B-IH	I-event	B-FOCUS
to	TO	B-VP	I-IH	I-event	O
do	VB	I-VP	I-IH	I-event	O
in	IN	B-PP	O	I-event	O
Sicily	RB	B-NP	B-IM_LocRegion	I-event	O
this	DT	I-NP	B-IM_date	I-event	O
week	NN	I-NP	I-IM_date	I-event	O
?	.	O	O	I-event	O

cinema	NN	B-NP	B-IH	B-cinema	B-FOCUS
with	IN	B-PP	O	I-cinema	O
indipendence	NN	B-NP	B-IM_MovTitle	I-cinema	O
day	NN	I-NP	I-IM_MovTitle	I-cinema	O
in	IN	B-PP	O	I-cinema	O
toronto	NN	B-NP	B-IM_LocCity	I-cinema	O
today	NN	I-NP	B-IM_date	I-cinema	O

give	VB	B-VP	O	B-hotel	O
me	PRP	B-NP	O	I-hotel	O
the	DT	B-NP	O	I-hotel	O
best	RBS	I-NP	O	I-hotel	O
double	JJ	I-NP	B-IH	I-hotel	O
room	NN	I-NP	I-IH	I-hotel	B-FOCUS
in	IN	B-PP	O	I-hotel	O
Düsseldorf	NNP	B-NP	B-IM_LocCity	I-hotel	O
and	CC	O	O	B-transport	O
a	DT	B-NP	O	I-transport	O
low-cost	JJ	I-NP	O	I-transport	O
